Informatique,Economie
"java","ingénierie"
"python","ingénieur"
"jeu","analyse"
"informatique","comptabilité"
"web","organisation"
"développement","finance"
"ingénierie","financier"
"ingénieur","gestion"
"cpp","économie"
"c++","banquier"
"vb","analiste"
"sql","manager"
"algorithmique","marché"
"sgbd","consulting"
"oracle11g","financial"
"pyzo","consultant"
"html","ventes"
"css","paiement"
"spring","calcul"
"boot",""
"js",""
"react",
"angular",""
"dotnet",""
"windows",""
"mac",""
"linux",""
"analyse",""
"bootstrap",""
"jquery",""
"code",""
"vs",""
"eclipse",""
"poo",""
"visual",""
"studio",""
"manager",""
"marché",""